method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
AnchorsOnly,11,g3,200,38946,0.745,0.57633,0.61597,0.42112,0.19485
AnchorsOnly,22,g0,303,38946,0.73267,0.72959,0.55635,0.38184,0.17451
AnchorsOnly,22,g1,294,38946,0.76531,0.73447,0.58437,0.37567,0.2087
AnchorsOnly,22,g2,123,38946,0.93496,0.48315,0.45065,0.07576,0.37489
AnchorsOnly,22,g3,200,38946,0.715,0.50357,0.59256,0.42112,0.17144
AnchorsOnly,33,g0,303,38946,0.79208,0.78994,0.53453,0.38184,0.15268
AnchorsOnly,33,g1,294,38946,0.79592,0.76529,0.59953,0.37567,0.22386
AnchorsOnly,33,g2,123,38946,0.93496,0.48315,0.37639,0.07576,0.30063
AnchorsOnly,33,g3,200,38946,0.725,0.49327,0.65899,0.42112,0.23787
AnchorsOnly,44,g0,303,38946,0.73927,0.73564,0.55986,0.38184,0.17802
AnchorsOnly,44,g1,294,38946,0.78571,0.75564,0.55528,0.37567,0.17961
